City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,westport,41.1415,-73.3579,38.32,57,0,8.05,US,1675202791
84,patea,-39.7583,174.4833,72.75,63,100,7.65,NZ,1675202791
85,menongue,-14.6585,17.691,62.53,97,98,4.29,AO,1675202792
86,aragarcas,-15.8975,-52.2508,86.65,66,40,0.0,BR,1675202753
87,cherskiy,68.75,161.3,-4.16,99,100,4.12,RU,1675202718
88,alofi,-19.0595,-169.9187,82.29,78,75,9.22,NU,1675202792
89,jiaozuo,35.2397,113.2331,43.83,22,100,12.06,CN,1675202793
90,yellowknife,62.456,-114.3525,-19.68,76,75,9.22,CA,1675202793
91,faanui,-16.4833,-151.75,80.74,76,47,15.1,PF,1675202794
92,kapit,2.0167,112.9333,73.9,99,100,0.83,MY,1675202794
93,vologda,59.2187,39.8886,28.65,94,100,11.25,RU,1675202794
94,lebu,-37.6167,-73.65,60.26,74,0,20.69,CL,1675202795
95,bosaso,11.2842,49.1816,73.18,73,21,4.72,SO,1675202795
96,talnakh,69.4865,88.3972,1.2,96,100,9.4,RU,1675202796
97,bredasdorp,-34.5322,20.0403,66.56,96,35,2.15,ZA,1675202796
98,jieshi,22.8134,115.8257,62.56,76,100,7.58,CN,1675202797
99,srednekolymsk,67.45,153.6833,-16.94,94,81,7.85,RU,1675202797
100,kavaratti,10.5669,72.642,78.82,78,40,15.88,IN,1675202798
101,necochea,-38.5473,-58.7368,68.2,76,42,16.28,AR,1675202798
102,spodnja idrija,46.0319,14.0272,37.89,88,8,2.1,SI,1675202798
103,asfi,32.2994,-9.2372,55.99,57,82,12.53,MA,1675202799
104,kattivakkam,13.2167,80.3167,78.89,79,100,10.74,IN,1675202799
105,provideniya,64.3833,-173.3,21.31,100,100,4.47,RU,1675202799
106,vaini,-21.2,-175.2,78.96,94,75,10.36,TO,1675202541
107,nemuro,43.3236,145.575,20.5,64,9,7.02,JP,1675202800
108,colares,38.7992,-9.4469,50.9,73,0,13.0,PT,1675202800
109,jaicos,-7.3592,-41.1378,81.18,50,52,4.0,BR,1675202801
110,borisoglebsk,51.3671,42.0849,31.62,99,100,5.44,RU,1675202801
111,sao joao da barra,-21.6403,-41.0511,78.89,83,47,17.76,BR,1675202801
112,georgetown,5.4112,100.3354,80.53,81,20,3.44,MY,1675202740
113,mariental,-24.6333,17.9667,81.27,15,70,21.65,NA,1675202802
114,frontera,26.9333,-101.45,44.35,87,100,9.22,MX,1675202803
115,caxito,-8.5785,13.6643,77.65,88,97,3.51,AO,1675202803
116,hasaki,35.7333,140.8333,23.4,54,32,7.43,JP,1675202803
117,nikolskoye,59.7035,30.7861,31.91,93,98,8.19,RU,1675202804
118,chuy,-33.6971,-53.4616,75.67,77,19,10.33,UY,1675202804
119,kaitangata,-46.2817,169.8464,62.64,98,100,1.7,NZ,1675202776
120,oranjemund,-28.55,16.4333,62.64,96,4,3.51,NA,1675202805
121,hamilton,39.1834,-84.5333,28.44,71,100,8.05,US,1675202805
122,norman wells,65.282,-126.8329,-15.59,96,52,7.4,CA,1675202806
123,saint-pierre,-21.3393,55.4781,78.48,89,75,10.36,RE,1675202806
124,ribeira grande,38.5167,-28.7,55.78,84,94,11.01,PT,1675202806
125,rudnya,54.947,31.0934,24.08,96,91,6.53,RU,1675202807
126,upernavik,72.7868,-56.1549,-0.49,94,100,15.28,GL,1675202808
127,tucuma,-0.1833,-50.05,76.48,89,94,5.28,BR,1675202808
128,koygorodok,60.445,50.9968,24.66,90,100,10.36,RU,1675202809
129,faya,18.3851,42.4509,50.52,65,33,3.87,SA,1675202809
130,hilo,19.7297,-155.09,75.61,94,75,3.44,US,1675202695
131,benalla,-36.55,145.9833,66.85,54,1,5.7,AU,1675202810
132,jaffna,9.6685,80.0074,77.0,87,100,16.69,LK,1675202810
133,siavonga,-16.5382,28.7088,72.66,90,58,5.73,ZM,1675202811
